No.,éûä‘ë—,îNë„,ê´ï ,çwì¸ã‡äz,è¡îÔê≈
1,8:07,10,M,1147,91
2,8:12,20,M,801,64
3,8:14,30,F,981,78
4,8:37,30,F,572,45
5,8:44,50,F,1077,86
6,8:54,30,F,1607,128
7,8:57,20,F,2277,182
8,9:00,20,M,3033,242
9,9:12,10,M,4041,323
10,9:17,20,M,1110,88
11,9:22,20,M,911,72
12,9:37,30,M,381,30
13,10:13,40,M,801,64
14,10:23,50,M,1977,158
15,10:30,60,F,7881,630
16,10:37,20,M,2057,164
17,10:50,30,M,1044,83
18,11:04,10,F,973,77
19,11:12,30,M,1066,85
20,11:37,40,F,1221,97
21,11:42,10,M,501,40
22,11:47,20,M,377,30
23,11:52,10,M,1581,126
24,11:53,40,F,807,64
25,11:54,30,M,881,70
26,11:55,30,M,1477,118
27,12:00,40,F,581,46
28,12:02,30,M,2659,212
29,12:07,20,F,1584,126
30,12:08,60,M,310,24
31,12:09,20,M,1077,86
32,12:10,30,M,501,40
33,12:11,20,F,1581,126
34,12:12,50,M,1077,86
35,12:17,40,M,2057,164
36,12:22,30,F,911,72
37,12:32,50,M,5641,451
38,12:37,60,F,284,22
39,12:42,20,M,471,37
40,12:47,40,M,581,46
41,13:12,30,M,507,40
42,13:17,20,M,1077,86
43,13:32,20,M,1277,102
44,13:47,30,M,2607,208
45,13:52,40,F,2261,180
46,14:22,60,F,2032,162
47,14:32,30,F,611,48
48,14:47,20,M,1089,87
49,15:38,30,M,1080,86
50,15:42,40,M,501,40
51,15:57,50,F,801,64
52,16:12,20,M,984,78
53,16:20,30,M,701,56
54,16:42,40,F,381,30
55,16:57,60,M,4581,366
56,17:07,80,F,1080,86
57,17:27,70,F,2057,164
58,17:37,50,M,711,56
59,17:42,30,M,911,72
60,17:52,40,F,1077,86
61,18:05,50,M,1047,83
62,18:17,60,M,5541,443
63,18:22,30,F,177,14
64,18:37,40,M,281,22
65,18:42,50,F,389,31
66,18:50,30,M,2077,166
67,19:12,20,M,581,46
68,19:17,20,M,911,72
69,19:20,30,F,762,60
70,19:23,10,M,279,22
71,19:29,10,M,507,40
72,19:45,20,F,477,38
73,19:49,20,M,581,46
74,19:54,40,M,911,72
